affected_flow_count,affected_flow_ids,affected_flow_ratio,endpoint_a,endpoint_b,fault_id,healthy_route_use_count,internal_switch_link,p0_used,p0_used_direction_count,physical_link_id,quantile_bin,scenario_id
34,"['TT0002', 'TT0003', 'TT0006', 'TT0007', 'TT0010', 'TT0011', 'TT0014', 'TT0018', 'TT0043', 'TT0046', 'TT0047', 'TT0050', 'TT0051', 'TT0083', 'TT0086', 'TT0087', 'TT0090', 'TT0091', 'TT0095', 'TT0122', 'TT0123', 'TT0126', 'TT0127', 'TT0130', 'TT0131', 'TT0134', 'TT0135', 'TT0162', 'TT0163', 'TT0166', 'TT0167', 'TT0170', 'TT0171', 'TT0174']",0.17,sw0058,sw0060,l_sw0058_sw0060,34,True,True,34,l_sw0058_sw0060,1,S2
36,"['TT0002', 'TT0003', 'TT0006', 'TT0007', 'TT0010', 'TT0011', 'TT0014', 'TT0018', 'TT0019', 'TT0043', 'TT0046', 'TT0047', 'TT0050', 'TT0051', 'TT0058', 'TT0083', 'TT0086', 'TT0087', 'TT0090', 'TT0091', 'TT0095', 'TT0122', 'TT0123', 'TT0126', 'TT0127', 'TT0130', 'TT0131', 'TT0134', 'TT0135', 'TT0162', 'TT0163', 'TT0166', 'TT0167', 'TT0170', 'TT0171', 'TT0174']",0.18,sw0002,sw0060,l_sw0002_sw0060,36,True,True,36,l_sw0002_sw0060,1,S2
37,"['TT0002', 'TT0003', 'TT0006', 'TT0007', 'TT0010', 'TT0034', 'TT0035', 'TT0038', 'TT0039', 'TT0043', 'TT0046', 'TT0047', 'TT0074', 'TT0075', 'TT0078', 'TT0079', 'TT0083', 'TT0086', 'TT0087', 'TT0114', 'TT0115', 'TT0118', 'TT0119', 'TT0122', 'TT0123', 'TT0126', 'TT0127', 'TT0154', 'TT0155', 'TT0158', 'TT0159', 'TT0162', 'TT0166', 'TT0194', 'TT0195', 'TT0198', 'TT0199']",0.185,sw0046,sw0048,l_sw0046_sw0048,37,True,True,37,l_sw0046_sw0048,2,S2
38,"['TT0024', 'TT0025', 'TT0028', 'TT0029', 'TT0032', 'TT0033', 'TT0036', 'TT0040', 'TT0064', 'TT0065', 'TT0068', 'TT0069', 'TT0072', 'TT0073', 'TT0076', 'TT0104', 'TT0105', 'TT0108', 'TT0109', 'TT0112', 'TT0113', 'TT0116', 'TT0117', 'TT0144', 'TT0145', 'TT0148', 'TT0149', 'TT0152', 'TT0153', 'TT0156', 'TT0157', 'TT0184', 'TT0185', 'TT0188', 'TT0189', 'TT0192', 'TT0193', 'TT0196']",0.19,sw0031,sw0033,l_sw0031_sw0033,38,True,True,38,l_sw0031_sw0033,2,S2
38,"['TT0024', 'TT0025', 'TT0028', 'TT0029', 'TT0032', 'TT0033', 'TT0036', 'TT0040', 'TT0064', 'TT0065', 'TT0068', 'TT0069', 'TT0072', 'TT0073', 'TT0076', 'TT0104', 'TT0105', 'TT0108', 'TT0109', 'TT0112', 'TT0113', 'TT0116', 'TT0117', 'TT0144', 'TT0145', 'TT0148', 'TT0149', 'TT0152', 'TT0153', 'TT0156', 'TT0157', 'TT0184', 'TT0185', 'TT0188', 'TT0189', 'TT0192', 'TT0193', 'TT0196']",0.19,sw0033,sw0035,l_sw0033_sw0035,38,True,True,38,l_sw0033_sw0035,2,S2
38,"['TT0001', 'TT0025', 'TT0028', 'TT0029', 'TT0032', 'TT0033', 'TT0036', 'TT0040', 'TT0041', 'TT0042', 'TT0065', 'TT0068', 'TT0069', 'TT0072', 'TT0073', 'TT0076', 'TT0081', 'TT0105', 'TT0108', 'TT0109', 'TT0112', 'TT0113', 'TT0116', 'TT0117', 'TT0145', 'TT0148', 'TT0149', 'TT0152', 'TT0153', 'TT0156', 'TT0157', 'TT0160', 'TT0185', 'TT0188', 'TT0189', 'TT0192', 'TT0193', 'TT0196']",0.19,sw0035,sw0037,l_sw0035_sw0037,38,True,True,38,l_sw0035_sw0037,2,S2
38,"['TT0002', 'TT0003', 'TT0006', 'TT0030', 'TT0031', 'TT0034', 'TT0035', 'TT0038', 'TT0039', 'TT0043', 'TT0070', 'TT0071', 'TT0074', 'TT0075', 'TT0078', 'TT0079', 'TT0083', 'TT0110', 'TT0111', 'TT0114', 'TT0115', 'TT0118', 'TT0119', 'TT0122', 'TT0123', 'TT0150', 'TT0151', 'TT0154', 'TT0155', 'TT0158', 'TT0159', 'TT0162', 'TT0190', 'TT0191', 'TT0194', 'TT0195', 'TT0198', 'TT0199']",0.19,sw0042,sw0044,l_sw0042_sw0044,38,True,True,38,l_sw0042_sw0044,2,S2
38,"['TT0002', 'TT0003', 'TT0006', 'TT0007', 'TT0010', 'TT0034', 'TT0035', 'TT0038', 'TT0039', 'TT0043', 'TT0046', 'TT0047', 'TT0074', 'TT0075', 'TT0078', 'TT0079', 'TT0083', 'TT0086', 'TT0087', 'TT0114', 'TT0115', 'TT0118', 'TT0119', 'TT0122', 'TT0123', 'TT0126', 'TT0127', 'TT0154', 'TT0155', 'TT0158', 'TT0159', 'TT0162', 'TT0166', 'TT0167', 'TT0194', 'TT0195', 'TT0198', 'TT0199']",0.19,sw0048,sw0050,l_sw0048_sw0050,38,True,True,38,l_sw0048_sw0050,2,S2
38,"['TT0002', 'TT0003', 'TT0006', 'TT0007', 'TT0010', 'TT0011', 'TT0014', 'TT0038', 'TT0039', 'TT0043', 'TT0046', 'TT0047', 'TT0050', 'TT0051', 'TT0078', 'TT0079', 'TT0083', 'TT0086', 'TT0087', 'TT0090', 'TT0091', 'TT0118', 'TT0119', 'TT0122', 'TT0123', 'TT0126', 'TT0127', 'TT0130', 'TT0131', 'TT0158', 'TT0159', 'TT0162', 'TT0163', 'TT0166', 'TT0167', 'TT0170', 'TT0198', 'TT0199']",0.19,sw0052,sw0054,l_sw0052_sw0054,38,True,True,38,l_sw0052_sw0054,2,S2
38,"['TT0002', 'TT0003', 'TT0006', 'TT0007', 'TT0010', 'TT0011', 'TT0014', 'TT0017', 'TT0039', 'TT0043', 'TT0046', 'TT0047', 'TT0050', 'TT0051', 'TT0056', 'TT0079', 'TT0083', 'TT0086', 'TT0087', 'TT0090', 'TT0091', 'TT0095', 'TT0119', 'TT0122', 'TT0123', 'TT0126', 'TT0127', 'TT0130', 'TT0131', 'TT0134', 'TT0159', 'TT0162', 'TT0163', 'TT0166', 'TT0167', 'TT0170', 'TT0171', 'TT0199']",0.19,sw0056,sw0058,l_sw0056_sw0058,38,True,True,38,l_sw0056_sw0058,2,S2
