absolute_shift_ns,absolute_shift_ticks,changed,flow_id,flow_kind,new_release_ticks,original_collision_degree,original_release_ticks,period_ticks,relative_shift_over_period,scale,source,source_egress,tx_ticks
600,6,True,CMD_PLC_C11_M04_A1_C11_M04,ControlCommand,160,1,166,5000,0.0012,L,PLC_C11_M04,PLC_C11_M04,11
0,0,False,CMD_PLC_C11_M04_A2_C11_M04,ControlCommand,171,1,171,5000,0.0,L,PLC_C11_M04,PLC_C11_M04,11
0,0,False,CMD_PLC_C11_M04_A3_C11_M04,ControlCommand,474,0,474,5000,0.0,L,PLC_C11_M04,PLC_C11_M04,11
0,0,False,CMD_PLC_C11_M04_A4_C11_M04,ControlCommand,245,0,245,5000,0.0,L,PLC_C11_M04,PLC_C11_M04,11
0,0,False,CMD_PLC_C12_M01_A1_C12_M01,ControlCommand,444,0,444,5000,0.0,L,PLC_C12_M01,PLC_C12_M01,11
600,6,True,CMD_PLC_C12_M01_A2_C12_M01,ControlCommand,249,1,255,5000,0.0012,L,PLC_C12_M01,PLC_C12_M01,11
0,0,False,CMD_PLC_C12_M01_A3_C12_M01,ControlCommand,963,0,963,5000,0.0,L,PLC_C12_M01,PLC_C12_M01,11
0,0,False,CMD_PLC_C12_M01_A4_C12_M01,ControlCommand,260,1,260,5000,0.0,L,PLC_C12_M01,PLC_C12_M01,11
0,0,False,CMD_PLC_C12_M02_A1_C12_M02,ControlCommand,314,0,314,5000,0.0,L,PLC_C12_M02,PLC_C12_M02,11
0,0,False,CMD_PLC_C12_M02_A2_C12_M02,ControlCommand,702,0,702,5000,0.0,L,PLC_C12_M02,PLC_C12_M02,11
0,0,False,CMD_PLC_C12_M02_A3_C12_M02,ControlCommand,146,0,146,5000,0.0,L,PLC_C12_M02,PLC_C12_M02,11
0,0,False,CMD_PLC_C12_M02_A4_C12_M02,ControlCommand,862,0,862,5000,0.0,L,PLC_C12_M02,PLC_C12_M02,11
