level,connectivity_margin_mean,connectivity_margin_min,fault_id,graph_connected,profile_bytes,raw_status,recovery_hop_count,recovery_route_hash,semantic_profile_hash,smt_solver_wall_us,status,affected_flow_count
R3_D5,4.5,4,l_sw03_sw11,True,60462,SAT,236,d06bf1d0197fc8cd87801aa1b3e124f843a395106157dee8917a4b448179b170,039e57571ee223eb76978a900c642892289f0f2959237e61528aa93891aa8d18,669469.982,SAT,4
R3_D5,4.75,4,l_sw04_sw05,True,,FORWARDING_CONFLICT,,,,574943.3520000001,FORWARDING_CONFLICT,4
R3_D5,4.75,4,l_sw05_sw06,True,,FORWARDING_CONFLICT,,,,817562.635,FORWARDING_CONFLICT,4
R3_D5,4.5,4,l_sw05_sw13,True,60340,SAT,236,e9ec4ee67a9aae133e436c378f35e518bf4363c2b4dd249eed4016fed92d2bd5,537a491a99ed8842367388ca74610e0cd1c5aba950e2ea965c09f8a9c0a4551c,663244.338,SAT,4
R3_D5,4.5,4,l_sw06_sw07,True,,FORWARDING_CONFLICT,,,,814500.715,FORWARDING_CONFLICT,4
R3_D5,4.5,4,l_sw07_sw15,True,58972,SAT,227,14d26130575ba991cbe3749c6dbaf28b6132fafe3101b625f1873cfd108c3a10,f0a73d99ec214104d1c6a15946e5e9d845d9ecb2c6ff7ff7f2e345db98afa216,598916.297,SAT,4
R3_D5,4.5,4,l_sw09_sw10,True,,FORWARDING_CONFLICT,,,,577835.857,FORWARDING_CONFLICT,4
R3_D5,4.625,4,l_sw09_sw17,True,,FORWARDING_CONFLICT,,,,573339.204,FORWARDING_CONFLICT,8
R3_D5,4.75,4,l_sw10_sw11,True,,FORWARDING_CONFLICT,,,,581624.287,FORWARDING_CONFLICT,4
R3_D5,4.75,4,l_sw11_sw12,True,56095,SAT,223,d44ae220bef372a4a21513810382e605082f3d854361d938a377469916728fdc,b7c0d86fe4a0317cc7f49a1e26ef6557e719b1607d4624bce65c2bcd81cc0ab3,579551.4269999999,SAT,4
