affected_flow_count,affected_set_key,fault_count,fault_ids,scenario,selected_by_mode
2,a4a1407ad1effaf62273cde4b7534f5f6c63c6f3dff40ac7d99189b86403bec8,2,l_SW_C02_CC_SW_C02_CORE_B;l_SW_C02_CORE_B_SW_FACTORY_CORE_B,M_REDSTAR,True
6,a7934300af39dfddbd1913d7e3160cc50a8ac597b21a1e194ef4182502c9d342,1,l_SW_C07_CORE_A_SW_C07_M02_CTRL,M_REDSTAR,True
6,a982ce55ccf1df6b20abfbaf6ffe9cd5fd8a4fcc6ba6d3827204a9bc866087b0,1,l_SW_C01_CORE_A_SW_C01_M01_CTRL,M_REDSTAR,True
4,b3449913f1b5d4f6666f94ef256b23fc8b6bbdf48758059499c8ae8e38d1289f,1,l_SW_C02_CORE_A_SW_C02_M01_ACT,M_REDSTAR,True
6,b3a6aad4a48b146ed2d578e43662c1aefd4e982895672bea38516d19564e359e,1,l_SW_C02_CORE_A_SW_C02_M03_CTRL,M_REDSTAR,True
6,b4ec95ee05ba5399b3acc06804d0a84c3d3d164e5934b67be97234fec744ab3a,1,l_SW_C06_CORE_A_SW_C06_M01_CTRL,M_REDSTAR,True
8,b764c2d295aba52787f7abdb0e1418a9161d7a7989724a81b134f48e332bee0d,1,l_SW_C01_CC_SW_C01_CORE_A,M_REDSTAR,True
6,b924ffaf197c76d00451e17c3d67646c5f323af0a06218b64b1fe930b4b13d1c,1,l_SW_C04_CORE_A_SW_C04_M01_CTRL,M_REDSTAR,True
8,bc0d6b0fad308c413f4c30320b9546d73d8ec9f7fcfcd7c12764c718c0b802c5,2,l_SW_C05_CORE_B_SW_C05_M01_CTRL;l_SW_C05_CORE_B_SW_C05_M01_SENS,M_REDSTAR,True
6,bccee194e68fb35961fcf55c139bca58358a931f0988bfa93b83dc827abc375c,1,l_SW_C03_CORE_A_SW_C03_M02_CTRL,M_REDSTAR,True
8,bdc33955e9b562bb20821cd147027d85babdfae20464f26e8087554eea1bb7d3,1,l_SW_C05_CC_SW_C05_CORE_A,M_REDSTAR,True
8,c2d2c94965ff91f310a28677ea0d1c4001c018e83314b5a23585a16a13cba1ca,2,l_SW_C07_CORE_B_SW_C07_M03_CTRL;l_SW_C07_CORE_B_SW_C07_M03_SENS,M_REDSTAR,True
6,c41bf97453e8c7b04940f632afc91e9a8eaa6993fa5893604d88c48c0613295c,1,l_SW_C01_CORE_A_SW_C01_M02_CTRL,M_REDSTAR,True
