affected_set_key,fault_ids,group_id,group_size,profile,scenario
4a92371894e2f29cd58ecd9e6fc86efe08409e2269b482f645551884a0267308,l_SW_C05_CC_SW_C05_CORE_A,FG_5b80409880480c78f2c70df5037347e615585dd6f2fefdf7eaf80777c49a23f3,1,False,L_REDSTAR
4bf30b855078267bc98f03031e1cd15b4470aed26f8b5d5d465f524a012f435d,l_SW_C01_CORE_A_SW_C01_M03_ACT,FG_1beb9bd1ea7906e1b180a43846700a5aa9428548cb399a66f0eb78e7fb9d4b8e,1,False,L_REDSTAR
4c738d0bca937ce4e13aa26e95317004f8d5503a2a63f4dda0a92d2e14632ba2,l_SW_C15_CORE_A_SW_C15_M03_CTRL,FG_2a9b7a70de59051b891221777903d4c1747379ffe51e8bc831e6a686e38992c5,1,False,L_REDSTAR
4da5e5ffb17ad15ff312b44df5ad4410686c7b9d4fe362c781a56631612b50a4,l_SW_C06_CC_SW_C06_CORE_A,FG_cbeda9b9145944eb958685261e8e1c8f362ac80207efbdb780b498b24a43e537,1,False,L_REDSTAR
4e0af0a051ac244e7fea1c6601b66e2e31764b2ceca1d594cc66702f5c637d9f,l_SW_C10_CORE_A_SW_C10_M02_ACT,FG_1a9dde6b8a28e1157b2503b12adb1325e08226183d3b6d369b23280c60a8e700,1,False,L_REDSTAR
4f10e42f1816258026fb42b6b7eb3fa7b2bbad4c58eb89295c75adbcce21b9fa,l_SW_C03_CORE_B_SW_C03_M03_CTRL;l_SW_C03_CORE_B_SW_C03_M03_SENS,FG_521c04913fb8ec587b6bc9598ee5dc21b07ee555c1cd6c9648b3d9c1005ac232,2,True,L_REDSTAR
506dc3ac00202ca5888b34582d54af73cb7344e48f8e31ee42d391a119c02648,l_SW_C06_CORE_A_SW_C06_M02_CTRL,FG_2e313f7456cb5b469eb85f8a6106b3a669dec7ecb5c98c9fa4c654557d64ddca,1,False,L_REDSTAR
50bf3c84655544a852bf31a779daa73726078635d6f31ad2372bd2aab84bd1e3,l_SW_C10_CORE_A_SW_C10_M03_ACT,FG_61ea7790b14f3d62fb8f63160b7f676f1937080ff21d52fb1d234bd8cf7eb598,1,False,L_REDSTAR
510844a9b6fb71309a6f27d376d47e28cc3f1fd0c7ebeb9cc99f4c123147ff97,l_SW_C02_CC_SW_C02_CORE_A,FG_bf9c1ca2c418ddd7c411858b96ff78b68cd25186e44666a2862f72cf5ce8d173,1,False,L_REDSTAR
514e92100c8604761b015008477be188259983589438b63478d1d9749a6c5df1,l_SW_C16_CORE_B_SW_C16_M04_CTRL;l_SW_C16_CORE_B_SW_C16_M04_SENS,FG_fc83ad05c5ca9a9a3aa0b5e26cc48eb058262ae7feef72872eb29d3f66af8395,2,True,L_REDSTAR
51844501c793ed98debc20010b7f31915f7b75f0c02310d58aa183fe2b1d7ed6,l_SW_C05_CORE_A_SW_C05_M04_ACT,FG_405d8ddf3dd4e539b7aee53457409c0bcff1c8b3131a5094df125422c51e3ac0,1,False,L_REDSTAR
53c1cdf8d979e6077a04b9b33a494c5d5a7aea083b0372768bdfa18fe0f1245d,l_SW_C06_CORE_A_SW_C06_M01_ACT,FG_f35284091094ebf9038fabe1198e24a1bb331e3f1deaa9092b222a2947fd6d12,1,False,L_REDSTAR
53c7de088d7c049ad056bd76c12192260ad5afe614791ed0e0a6b9bd67977cfd,l_SW_C13_CORE_A_SW_C13_M03_ACT,FG_9071679f6712ba621adf3e5143164e378ed788e452d4052e009005d19df4b3ac,1,False,L_REDSTAR
5780d42c19127551173090d7b6747f595c030556c44d863217fc43239043af43,l_SW_C01_CC_SW_C01_CORE_A,FG_bf1b96a8bc30d2d61b31285c22eb02eaed20014adacce944f674f82c66157bbf,1,False,L_REDSTAR
5a829cae3bd6bb041d0f1c701ed12b3230d6c4dc03ede3a48bc7c0bf0ad02bd1,l_SW_C13_CORE_A_SW_FACTORY_CORE_A,FG_99b5e6104459db01580dd8cfbb571f7dd2009281aa13755a098e47d1bc772c0c,1,False,L_REDSTAR
5b9a46a95de42df3a7499ddfb2f84f2e66c3454d8a7d309a44e97cd5fc26de95,l_SW_C09_CORE_A_SW_C09_M04_ACT,FG_89d58e5199f2e0fce5e9dea0842381791110f57272595a3ffb15a0c9b68de422,1,False,L_REDSTAR
5ba3a5d9e7f13adf061f021eb8556988910985f6297f29162fb2fa41b75ee5b9,l_SW_C14_CC_SW_C14_CORE_A,FG_9ab758a64803be9e03025ab4f60e2e1cec3852ea269bc7f591212a9533c05b4f,1,False,L_REDSTAR
5c29d2c3b2184807e1a81b6b4d5863c8f286f3b63ff5aa247ca63c863193f919,l_SW_C09_CORE_A_SW_C09_M01_ACT,FG_820417d036ce79aaf0e1d52dd493a8ac8ded0a5ef96010ace84e3b08c57aa95e,1,False,L_REDSTAR
5e4de46c173969bdb9a411ec76c42157a1f408e2644eb3bbea2f5883aeb10748,l_SW_C13_CORE_A_SW_C13_M04_ACT,FG_2ef450f57aed62d5651cbb1e874fee8f5804b2a5c029bd540a7dd98c54fefe50,1,False,L_REDSTAR
5eb7779ddd1e2bb9b135b97c26083eaf4be3ed77910eee1342ecd69cd44a7b88,l_SW_C08_CORE_B_SW_C08_M03_CTRL;l_SW_C08_CORE_B_SW_C08_M03_SENS,FG_83e6e29e12266aceb6646f2e6668d67b29b0658883616c552bda5a02c9d6d9b4,2,True,L_REDSTAR
