case_id,scenario,switch_count,case_type,policy_id,tt_flow_count,controlled_hop_count,total_symbolic_var_count,total_hard_constraint_count,non_overlap_constraint_count,contention_pair_count,max_flows_per_egress,z3_check_wall_ms,status,repeat_count
structured40_auto:SHARED:J020:d63e56304fe621ca,structured40_auto,40,SHARED,J020,40,180,181,767,146,146,6,596.260188,SAT,1
structured40_auto:SHARED:J020:dc76c19af23d27a8,structured40_auto,40,SHARED,J020,40,168,169,767,182,182,7,540.6383609999999,SAT,1
structured40_auto:SHARED:J020:fdcc4b526eb692b1,structured40_auto,40,SHARED,J020,40,164,165,736,163,163,6,800.3343040000001,SAT,1
structured40_auto:SHARED:J040:05053e23a7b8c138,structured40_auto,40,SHARED,J040,40,164,165,742,169,169,7,516.590123,SAT,1
structured40_auto:SHARED:J040:07ea48b4886dd1e4,structured40_auto,40,SHARED,J040,40,178,179,789,174,174,7,601.833313,SAT,1
structured40_auto:SHARED:J040:295034074a6192ad,structured40_auto,40,SHARED,J040,40,176,177,751,142,142,5,840.6951660000001,SAT,1
structured40_auto:SHARED:J040:3b2a7841618410db,structured40_auto,40,SHARED,J040,40,164,165,748,175,175,7,520.504822,SAT,1
structured40_auto:SHARED:J040:49e38987bf5d301c,structured40_auto,40,SHARED,J040,40,180,181,765,144,144,6,603.3115650000001,SAT,1
structured40_auto:SHARED:J040:5331421013021212,structured40_auto,40,SHARED,J040,40,164,165,753,180,180,7,522.127595,SAT,1
structured40_auto:SHARED:J040:5adb5d1015736931,structured40_auto,40,SHARED,J040,40,174,175,775,172,172,7,569.547817,SAT,1
structured40_auto:SHARED:J040:616d32da7c6a3168,structured40_auto,40,SHARED,J040,40,164,165,748,175,175,7,523.259701,SAT,1
structured40_auto:SHARED:J040:69c9b0afff3dcb14,structured40_auto,40,SHARED,J040,40,172,173,775,178,178,7,561.19353,SAT,1
structured40_auto:SHARED:J040:7aba9fb12e621338,structured40_auto,40,SHARED,J040,40,164,165,756,183,183,7,518.7842430000001,SAT,1
structured40_auto:SHARED:J040:fdcc4b526eb692b1,structured40_auto,40,SHARED,J040,40,164,165,736,163,163,6,792.043795,SAT,1
structured40_auto:SHARED:J100:05053e23a7b8c138,structured40_auto,40,SHARED,J100,40,164,165,742,169,169,7,513.576012,SAT,1
structured40_auto:SHARED:J100:3b2a7841618410db,structured40_auto,40,SHARED,J100,40,164,165,748,175,175,7,518.175932,SAT,1
structured40_auto:SHARED:J100:5331421013021212,structured40_auto,40,SHARED,J100,40,164,165,753,180,180,7,521.7386819999999,SAT,1
structured40_auto:SHARED:J100:616d32da7c6a3168,structured40_auto,40,SHARED,J100,40,164,165,748,175,175,7,522.45313,SAT,1
structured40_auto:SHARED:J100:7aba9fb12e621338,structured40_auto,40,SHARED,J100,40,164,165,756,183,183,7,520.642881,SAT,1
structured40_auto:SHARED:J100:fdcc4b526eb692b1,structured40_auto,40,SHARED,J100,40,164,165,736,163,163,6,798.7805420000001,SAT,1
structured50_auto:P0,structured50_auto,50,P0,,50,280,281,1346,405,405,10,2191.0639779999997,SAT,3
structured50_auto:PF:l_sw01_sw02,structured50_auto,50,PF,,50,280,281,1352,411,411,11,2053.1269970000003,SAT,1
structured50_auto:PF:l_sw01_sw11,structured50_auto,50,PF,,50,282,283,1333,386,386,10,1543.15877,SAT,1
structured50_auto:PF:l_sw01_sw13,structured50_auto,50,PF,,50,282,283,1314,367,367,10,1529.9112690000002,SAT,1
