HNF_count,HNF_set_sha,backend,density_tag,repeat,rho_den,rho_num,scenario
6,dacc7450cc50673cb34b459f84f816dff297f86f6952b3c84bf80d651d146427,H2S,D060,1,5,3,L_REDSTAR
6,dacc7450cc50673cb34b459f84f816dff297f86f6952b3c84bf80d651d146427,CELF,D060,1,5,3,L_REDSTAR
6,dacc7450cc50673cb34b459f84f816dff297f86f6952b3c84bf80d651d146427,H2S,D060,2,5,3,L_REDSTAR
6,dacc7450cc50673cb34b459f84f816dff297f86f6952b3c84bf80d651d146427,CELF,D060,2,5,3,L_REDSTAR
6,dacc7450cc50673cb34b459f84f816dff297f86f6952b3c84bf80d651d146427,H2S,D060,1,5,3,L_ROR
6,dacc7450cc50673cb34b459f84f816dff297f86f6952b3c84bf80d651d146427,CELF,D060,1,5,3,L_ROR
6,dacc7450cc50673cb34b459f84f816dff297f86f6952b3c84bf80d651d146427,H2S,D060,2,5,3,L_ROR
6,dacc7450cc50673cb34b459f84f816dff297f86f6952b3c84bf80d651d146427,CELF,D060,2,5,3,L_ROR
0,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,H2S,D050,1,2,1,M_RING
0,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,H2S,D050,2,2,1,M_RING
0,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,H2S,D050,1,2,1,M_REDSTAR
0,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,H2S,D050,2,2,1,M_REDSTAR
0,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,H2S,D050,1,2,1,M_ROR
0,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,H2S,D050,2,2,1,M_ROR
3,d71b4cd96901a3264d2817098dc592987d48e7f905120035f2f6d4b48422a39c,H2S,D050,1,2,1,L_RING
3,d71b4cd96901a3264d2817098dc592987d48e7f905120035f2f6d4b48422a39c,CELF,D050,1,2,1,L_RING
3,d71b4cd96901a3264d2817098dc592987d48e7f905120035f2f6d4b48422a39c,H2S,D050,2,2,1,L_RING
3,d71b4cd96901a3264d2817098dc592987d48e7f905120035f2f6d4b48422a39c,CELF,D050,2,2,1,L_RING
3,d71b4cd96901a3264d2817098dc592987d48e7f905120035f2f6d4b48422a39c,H2S,D050,1,2,1,L_REDSTAR
3,d71b4cd96901a3264d2817098dc592987d48e7f905120035f2f6d4b48422a39c,CELF,D050,1,2,1,L_REDSTAR
3,d71b4cd96901a3264d2817098dc592987d48e7f905120035f2f6d4b48422a39c,H2S,D050,2,2,1,L_REDSTAR
3,d71b4cd96901a3264d2817098dc592987d48e7f905120035f2f6d4b48422a39c,CELF,D050,2,2,1,L_REDSTAR
3,d71b4cd96901a3264d2817098dc592987d48e7f905120035f2f6d4b48422a39c,H2S,D050,1,2,1,L_ROR
3,d71b4cd96901a3264d2817098dc592987d48e7f905120035f2f6d4b48422a39c,CELF,D050,1,2,1,L_ROR
3,d71b4cd96901a3264d2817098dc592987d48e7f905120035f2f6d4b48422a39c,H2S,D050,2,2,1,L_ROR
3,d71b4cd96901a3264d2817098dc592987d48e7f905120035f2f6d4b48422a39c,CELF,D050,2,2,1,L_ROR
